rk,player,nation,pos,squad,age,born_year,mp,starts,min,nineties,gls,ast,g_a,g_minus_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_a_per90,g_minus_pk_per90,g_a_minus_pk_per90,g_minus_pk_per90_calc,pk_per90,pkatt_per90,crdy_per90,crdr_per90
398,Benjamín Kuscevic,cl CHI,DF,Toronto FC,30.0,1996.0,7,7,559,6.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0
399,Ezekiel Kwame Alladoh,gh GHA,FW,Philadelphia,20.0,2005.0,16,5,613,6.8,1,1,2,1,0,0,1,1,0.15,0.15,0.29,0.15,0.29,0.15,0.0,0.0,0.15,0.15
400,Luca de la Torre,us USA,MF,Charlotte,28.0,1998.0,15,8,676,7.5,0,1,1,0,0,0,0,0,0.0,0.13,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.0
401,Mathías Laborda,uy URU,DF,Vancouver,26.0,1999.0,17,16,1462,16.2,3,2,5,3,0,0,2,0,0.18,0.12,0.31,0.18,0.31,0.18,0.0,0.0,0.12,0.0
402,Ayoub Lajhar,,DF,FC Cincinnati,22.0,2004.0,4,0,23,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,0.0
403,Luca Langoni,ar ARG,MFFW,NE Revolution,24.0,2002.0,15,10,882,9.8,3,6,9,3,0,0,1,0,0.31,0.61,0.92,0.31,0.92,0.31,0.0,0.0,0.1,0.0
404,Oliver Larraz,us USA,MF,Vancouver,24.0,2001.0,13,6,515,5.7,0,2,2,0,0,0,3,0,0.0,0.35,0.35,0.0,0.35,0.0,0.0,0.0,0.52,0.0
405,Richie Laryea,ca CAN,DFMF,Toronto FC,31.0,1995.0,14,14,1260,14.0,2,1,3,2,0,0,3,0,0.14,0.07,0.21,0.14,0.21,0.14,0.0,0.0,0.21,0.0
406,Ariel Lassiter,cr CRC,MFFW,Portland Timbers,31.0,1994.0,14,5,460,5.1,2,2,4,2,0,0,1,0,0.39,0.39,0.78,0.39,0.78,0.39,0.0,0.0,0.2,0.0
407,Emmanuel Latte Lath,ci CIV,FW,Atlanta Utd,27.0,1999.0,14,10,907,10.1,2,2,4,2,0,0,2,0,0.2,0.2,0.4,0.2,0.4,0.2,0.0,0.0,0.2,0.0
