,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
75,Sebastian Berhalter,us USA,MF,Vancouver,25-100,2001,14,13,1121,12.5,6,4,10,5,1,1,3,0,0.48,0.32,0.80,0.40,0.72,Matches,f33ee427
76,Juan Berrocal,es ESP,DF,Atlanta Utd,27-106,1999,9,8,731,8.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,377ef3a6
77,Germán Berterame,mx MEX,FW,Inter Miami,27-278,1998,17,14,1305,14.5,7,4,11,7,0,0,1,0,0.48,0.28,0.76,0.48,0.76,Matches,fa61a2db
78,Pep Biel,es ESP,MFFW,Charlotte,29-347,1996,19,19,1658,18.4,10,5,15,9,1,1,2,0,0.54,0.27,0.81,0.49,0.76,Matches,1c59240b
79,Mamadou Billo Diop,sn SEN,FW,Colorado Rapids,19-338,2006,2,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,223a2094
80,Ran Binyamin,il ISR,MFDF,FC Dallas,22-193,2004,16,6,521,5.8,0,2,2,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,Matches,8a582646
81,Guilherme Biro,br BRA,DF,Austin FC,26-109,2000,16,15,1205,13.4,1,1,2,1,0,0,4,1,0.07,0.07,0.15,0.07,0.15,Matches,02c7236e
82,Tristan Blackmon,us USA,DF,Vancouver,30-006,1996,17,16,1465,16.3,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,7f35d14e
83,Andre Blake,jm JAM,GK,Philadelphia,35-270,1990,18,18,1620,18.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b3b21a11
84,Or Blorian,il ISR,DF,Sporting KC,26-164,2000,5,5,383,4.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6a13d166
85,Isaac Boehmer,us USA,GK,Vancouver,24-271,2001,2,1,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9792574e
86,Mateusz Bogusz,pl POL,MFFW,Houston,24-361,2001,18,17,1527,17.0,4,1,5,4,0,0,2,0,0.24,0.06,0.29,0.24,0.29,Matches,a2c1d8c2
87,Luca Bombino,us USA,DF,San Diego FC,20-039,2006,15,12,1056,11.7,1,1,2,1,0,0,5,1,0.09,0.09,0.17,0.09,0.17,Matches,1b78973a
88,Jonathan Bond,eng ENG,GK,Houston,33-091,1993,19,19,1665,18.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c3a86eea
89,Alex Bonetig,au AUS,DF,Portland Timbers,23-363,2002,8,7,648,7.2,1,0,1,1,0,0,1,0,0.14,0.00,0.14,0.14,0.14,Matches,5d22ca4b
90,Zach Booth,us USA,MFFW,Real Salt Lake,22-182,2004,11,6,433,4.8,1,0,1,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,Matches,7e47a132
91,Diego Borges,br BRA,DF,Sporting KC,21-246,2004,3,2,204,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,df8c0be0
92,Dylan Borso,us USA,MF,Chicago Fire,20-077,2006,4,0,78,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8ed39636
93,Antone Bossenberry,ca CAN,MF,Toronto FC,18-004,2008,2,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1aed986a
94,Denis Bouanga,ga GAB,FWMF,LAFC,31-280,1994,19,19,1633,18.1,10,4,14,9,1,1,5,0,0.55,0.22,0.77,0.50,0.72,Matches,0b0cbe5b
95,Ousseni Bouda,bf BFA,MFFW,SJ Earthquakes,26-112,2000,19,17,1503,16.7,5,1,6,5,0,0,1,0,0.30,0.06,0.36,0.30,0.36,Matches,0672f944
96,Amin Boudri,se SWE,MF,LAFC,21-323,2004,4,0,78,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8c03d809
97,Agustín Bouzat,ar ARG,MF,Houston,32-143,1994,16,8,786,8.7,1,1,2,1,0,0,1,1,0.11,0.11,0.23,0.11,0.23,Matches,a98f4de5
98,Michael Boxall,nz NZL,DF,Minnesota Utd,38-000,1988,11,9,757,8.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6bfa0d3a
99,Tyler Boyd,us USA,MFFW,LAFC,31-231,1994,17,5,547,6.1,1,2,3,1,0,0,2,0,0.16,0.33,0.49,0.16,0.49,Matches,f4b1e26f
100,Chris Brady,us USA,GK,Chicago Fire,22-168,2004,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a71768a2
101,David Brekalo,si SVN,DF,Orlando City,27-258,1998,15,13,1136,12.6,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,fd594b15
102,Luke Brennan,us USA,MF,Atlanta Utd,21-175,2005,12,3,325,3.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f6f4f7f0
103,Sebastian Breza,ca CAN,GK,CF Montréal,28-156,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,52e7f812
104,Yannick Bright,it ITA,MF,Inter Miami,24-349,2001,16,15,1300,14.4,0,1,1,0,0,0,3,1,0.00,0.07,0.07,0.00,0.07,Matches,83b115d4
105,Brandt Bronico,us USA,MF,Charlotte,31-059,1995,15,6,597,6.6,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,bd4460b1
106,Snyder Brunell,us USA,MF,Seattle Sounders,19-148,2007,18,13,1142,12.7,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,1861c746
107,Charles-Emile Brunet,ca CAN,MF,Nashville SC,22-265,2003,4,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7fbebb1e
108,Pavel Bucha,cz CZE,MF,FC Cincinnati,28-160,1998,18,18,1569,17.4,5,4,9,5,0,0,3,0,0.29,0.23,0.52,0.29,0.52,Matches,3235182a
109,Noel Buck,eng ENG,MF,SJ Earthquakes,21-135,2005,1,1,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3d47c1ad
110,Dawid Bugaj,pl POL,DF,CF Montréal,22-040,2004,15,12,1095,12.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8873ce45
111,Roman Bürki,ch SUI,GK,St. Louis City,35-277,1990,17,17,1530,17.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9d12e142
112,Micah Burton,us USA,FW,Austin FC,20-145,2006,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ba5a0210
113,Brandon Bye,us USA,DF,Portland Timbers,30-262,1995,19,18,1634,18.2,1,3,4,1,0,0,4,0,0.06,0.17,0.22,0.06,0.22,Matches,9fcd12af
114,Nathan Byrne,eng ENG,DF,Charlotte,34-074,1992,18,17,1506,16.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,c4041fbc
115,Rafael Cabral,br BRA,GK,Real Salt Lake,36-090,1990,18,18,1620,18.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,806f7a26
116,Kenji Cabrera,pe PER,MF,Vancouver,23-203,2003,9,2,313,3.5,0,2,2,0,0,0,2,0,0.00,0.58,0.58,0.00,0.58,Matches,eb442b0c
117,Bruno Caicedo,ec ECU,MF,Vancouver,21-215,2005,9,3,347,3.9,2,3,5,2,0,0,2,0,0.52,0.78,1.30,0.52,1.30,Matches,7f06a1d2
118,Fricio Caicedo,ec ECU,DF,Inter Miami,18-123,2008,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,00884dde
