,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
597,Jeremy Rafanello,us USA,MF,Philadelphia,26-126,2000,4,2,204,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ca9ccbf2
598,Jackson Ragen,us USA,DF,Seattle Sounders,27-328,1998,15,14,1328,14.8,0,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches,a3d67f70
599,Brooklyn Raines,us USA,MF,NE Revolution,21-160,2005,18,18,1582,17.6,1,0,1,1,0,0,7,0,0.06,0.00,0.06,0.06,0.06,Matches,b4caa0c5
600,Bryan Ramírez,ec ECU,MF,FC Cincinnati,26-007,2000,18,15,1343,14.9,1,2,3,1,0,0,6,0,0.07,0.13,0.20,0.07,0.20,Matches,226685d8
601,Christian Ramirez,us USA,FWMF,Austin FC,35-136,1991,17,9,763,8.5,5,1,6,5,0,0,0,0,0.59,0.12,0.71,0.59,0.71,Matches,316d5521
602,Rubén Ramos,us USA,FW,LA Galaxy,19-208,2007,5,1,110,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d85152ae
603,Ryan Raposo,ca CAN,DFMF,LAFC,27-166,1999,9,3,338,3.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,f006a9b3
604,Tim Ream,us USA,DF,Charlotte,38-317,1987,13,13,1125,12.5,0,1,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches,28b40c9c
605,Sergio Reguilón,es ESP,DF,Inter Miami,29-245,1996,9,8,578,6.4,1,0,1,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches,3353737a
606,Jayden Reid,us USA,DF,Sporting KC,24-353,2001,14,11,998,11.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,24ec625a
607,Seymour Reid,jm JAM,FW,NYCFC,18-167,2008,11,0,89,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d164f37
608,Tahir Reid-Brown,us USA,DF,Orlando City,20-047,2006,7,2,225,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7fa20456
609,William Reilly,us USA,MF,Atlanta Utd,23-258,2002,8,6,566,6.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,2361b580
610,Agustín Resch,ar ARG,DF,Houston,24-171,2002,18,13,1226,13.6,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches,2d870682
611,Marco Reus,de GER,MFFW,LA Galaxy,37-079,1989,19,16,1346,15.0,4,6,10,3,1,1,1,0,0.27,0.40,0.67,0.20,0.60,Matches,36a3ff67
612,Justin Reynolds,us USA,DFMF,Sporting KC,22-014,2004,8,4,317,3.5,0,1,1,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,Matches,b7a764a8
613,Bernardo Rhein,br BRA,DF,Orlando City,18-331,2007,5,2,165,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b321391a
614,Andrew Rick,us USA,GK,Philadelphia,20-200,2006,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,125b66d4
615,Jamar Ricketts,us USA,DFMF,SJ Earthquakes,24-298,2001,17,14,1147,12.7,0,2,2,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches,c4bf0bb9
616,Kalani Rienzi,us USA,DF,Seattle Sounders,24-052,2002,16,11,1112,12.4,2,0,2,2,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches,a7f6b9c4
617,Chris Rindov,us USA,DF,LA Galaxy,24-314,2001,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0fb34657
618,Rocco Ríos Novo,ar ARG,GK,Inter Miami,24-075,2002,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f59bd2d3
619,Reid Roberts,us USA,DF,SJ Earthquakes,22-252,2003,18,18,1620,18.0,2,0,2,2,0,0,5,0,0.11,0.00,0.11,0.11,0.11,Matches,5e49d644
620,Miles Robinson,us USA,DF,FC Cincinnati,29-157,1997,13,12,936,10.4,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,782a95d9
621,Stian Rode Gregersen,no NOR,DF,Atlanta Utd,31-093,1995,13,9,839,9.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,5f011e05
622,James Rodríguez,co COL,MFFW,Minnesota Utd,35-037,1991,6,2,195,2.2,0,2,2,0,0,0,0,0,0.00,0.92,0.92,0.00,0.92,Matches,715bf047
623,Sam Rogers,us USA,DF,Chicago Fire,27-093,1999,2,2,165,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6a0be032
624,Andy Rojas,cr CRC,FW,RB New York,20-256,2005,3,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,24d1531c
625,Alex Roldan,sv SLV,DF,Seattle Sounders,30-021,1996,13,10,841,9.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1255a82a
626,Cristian Roldan,us USA,MF,Seattle Sounders,31-076,1995,12,10,956,10.6,3,1,4,3,0,0,1,0,0.28,0.09,0.38,0.28,0.38,Matches,48875649
627,Nicolás Romero,ar ARG,DF,Minnesota Utd,22-263,2003,9,8,638,7.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,bc4b0544
628,David Romney,us USA,DF,SJ Earthquakes,33-067,1993,10,4,433,4.8,1,0,1,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches,b7b6e781
629,Connor Ronan,ie IRL,MF,Colorado Rapids,28-165,1998,6,2,199,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1b804500
630,Joseph Rosales,hn HON,MF,Austin FC,25-285,2000,19,18,1501,16.7,1,1,2,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,Matches,6a29d06b
631,Tanner Rosborough,us USA,FW,RB New York,18-150,2008,5,0,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01c66b96
632,Keegan Rosenberry,us USA,DF,Colorado Rapids,32-250,1993,12,2,424,4.7,1,0,1,1,0,0,0,0,0.21,0.00,0.21,0.21,0.21,Matches,f940c69e
633,Diego Rossi,uy URU,FWMF,Columbus Crew,28-166,1998,15,14,1259,14.0,6,1,7,5,1,1,0,0,0.43,0.07,0.50,0.36,0.43,Matches,a81dba8c
634,Paul Rothrock,us USA,MF,Seattle Sounders,27-221,1999,17,14,1360,15.1,5,1,6,5,0,0,3,0,0.33,0.07,0.40,0.33,0.40,Matches,875e8269
635,Kye Rowles,au AUS,DF,D.C. United,28-055,1998,16,16,1429,15.9,1,0,1,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches,8caf6772
636,David Ruíz,hn HON,MF,Inter Miami,22-191,2004,8,3,253,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,14cbe9d4
637,Pablo Ruíz,ar ARG,MF,Real Salt Lake,27-241,1998,4,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7368cd70
638,Albert Rusnák,sk SVK,MFFW,Seattle Sounders,32-042,1994,17,13,1284,14.3,3,4,7,1,2,2,0,0,0.21,0.28,0.49,0.07,0.35,Matches,0adeafaa
639,Cesar Ruvalcaba,us USA,DF,Columbus Crew,25-036,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3ad1adbb
640,Jorge Ruvalcaba,mx MEX,FWMF,RB New York,25-026,2001,18,16,1327,14.7,7,0,7,7,0,0,5,0,0.47,0.00,0.47,0.47,0.47,Matches,3c0efe33
641,Elias Saad,tn TUN,MF,Nashville SC,26-234,1999,2,1,100,1.1,0,2,2,0,0,0,1,0,0.00,1.80,1.80,0.00,1.80,Matches,78a2284f
642,Emmanuel Sabbi,us USA,MFFW,Vancouver,28-237,1997,13,8,711,7.9,2,3,5,2,0,0,2,0,0.25,0.38,0.63,0.25,0.63,Matches,2e1b7c83
643,Besard Sabovic,se SWE,MF,Austin FC,28-225,1998,14,5,628,7.0,0,1,1,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,Matches,6fde84aa
644,Anisse Saidi,tn TUN,FW,San Diego FC,18-059,2008,2,0,21,0.2,0,1,1,0,0,0,0,0,0.00,4.29,4.29,0.00,4.29,Matches,2d567f34
645,Allan Saint-Maximin,fr FRA,FWMF,Charlotte,29-159,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2b16cb1a
646,Anton Salétros,se SWE,MF,Chicago Fire,30-128,1996,16,16,1405,15.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,3da8c3f9
647,Dániel Sallói,hu HUN,MFFW,Toronto FC,30-030,1996,19,18,1639,18.2,4,3,7,4,0,0,2,0,0.22,0.16,0.38,0.22,0.38,Matches,6fcddf5f
648,Diadie Samassékou,ml MLI,MF,Houston,30-219,1996,17,9,715,7.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,08593525
649,Lucas Sanabria,uy URU,MF,LA Galaxy,22-235,2003,20,15,1293,14.4,2,1,3,2,0,0,5,0,0.14,0.07,0.21,0.14,0.21,Matches,1d9b8c4d
650,Cooper Sanchez,us USA,MF,Atlanta Utd,18-145,2008,17,16,1269,14.1,0,1,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches,4fcf3b14
651,Ilie Sánchez,es ESP,MF,Austin FC,35-270,1990,16,14,965,10.7,1,0,1,1,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches,72979f65
652,Gallatin Sandnes,us USA,DF,Seattle Sounders,18-076,2008,1,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,87770830
653,James Sands,us USA,DF,NYCFC,26-043,2000,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,dccd127f
654,William Sands,us USA,DF,NE Revolution,26-043,2000,19,19,1642,18.2,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,960a4473
655,Edvard Sandvik Tagseth,no NOR,MF,Nashville SC,25-207,2001,14,12,1015,11.3,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,215918bf
656,Jeong Sangbin,kr KOR,MFFW,St. Louis City,24-139,2002,13,9,608,6.8,2,1,3,2,0,0,1,0,0.30,0.15,0.44,0.30,0.44,Matches,f6fca8c6
657,Sergio Santos Gomes,br BRA,FW,Atlanta Utd,31-348,1994,4,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a930b263
658,Lineker Rodrigues dos Santos,br BRA,MFFW,Real Salt Lake,24-159,2002,3,2,135,1.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ee477eec
659,Rafael Santos,br BRA,MFDF,St. Louis City,28-194,1998,14,10,950,10.6,1,1,2,1,0,0,1,0,0.09,0.09,0.19,0.09,0.19,Matches,c72a6057
660,Harvey Sarajian,us USA,FW,Orlando City,21-204,2005,5,0,34,0.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,362768d0
661,Kieran Sargeant,us USA,DF,San Diego FC,23-125,2003,11,9,653,7.3,0,1,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,9ca44215
662,Josh Sargent,us USA,FW,Toronto FC,26-179,2000,12,10,850,9.4,3,1,4,3,0,0,0,0,0.32,0.11,0.42,0.32,0.42,Matches,a8d4428b
663,Samuel Sarver,us USA,MF,FC Dallas,23-168,2003,11,1,243,2.7,3,0,3,3,0,0,4,0,1.11,0.00,1.11,1.11,1.11,Matches,2d43686c
664,David Schnegg,at AUT,DF,Charlotte,27-323,1998,11,6,634,7.0,1,2,3,1,0,0,5,1,0.14,0.28,0.43,0.14,0.43,Matches,1c341b14
665,Sebastian Schonlau,de GER,DFMF,Vancouver,32-013,1994,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,efd623db
666,Patrick Schulte,us USA,GK,Columbus Crew,25-158,2001,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b8f47d7c
667,Brian Schwake,us USA,GK,Nashville SC,24-359,2001,19,19,1710,19.0,0,1,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches,e287eefa
668,Dante Sealy,tt TRI,MFFW,Colorado Rapids,23-123,2003,18,14,1006,11.2,0,2,2,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches,620ae69c
669,Telasco Segovia,ve VEN,MF,Inter Miami,23-138,2003,17,16,1394,15.5,3,6,9,3,0,0,8,0,0.19,0.39,0.58,0.19,0.58,Matches,9142b22f
670,Eddie Segura,co COL,DFMF,LAFC,29-197,1997,18,17,1520,16.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,c70e3fe0
671,Amar Sejdic,us USA,MF,Columbus Crew,29-262,1996,7,1,186,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,43ca2019
672,Giovanny Sequera,ve VEN,DF,Philadelphia,20-185,2006,1,1,81,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e27b3742
673,Brandon Servania,us USA,MF,D.C. United,27-159,1999,18,18,1485,16.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4d825a2d
674,Japhet Sery,dk DEN,DF,Philadelphia,26-130,2000,11,10,785,8.7,1,0,1,1,0,0,4,1,0.11,0.00,0.11,0.11,0.11,Matches,03e7a498
675,Jacob Shaffelburg,ca CAN,FWMF,LAFC,26-265,1999,10,5,449,5.0,0,2,2,0,0,0,0,0,0.00,0.40,0.40,0.00,0.40,Matches,339a2561
676,Alexander Shaw,us USA,MF,Inter Miami,18-167,2008,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,773d5387
677,Jason Shokalook,us USA,FW,Chicago Fire,23-322,2002,9,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f347746b
678,Jonathan Shore,us USA,MF,NYCFC,19-127,2007,14,4,429,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7cf7d4dd
679,Mateo Silvetti,ar ARG,MFFW,Inter Miami,20-216,2006,13,10,863,9.6,3,3,6,3,0,0,1,0,0.31,0.31,0.63,0.31,0.63,Matches,12a2d3e0
680,Nicholas Simmonds,jm JAM,FW,FC Dallas,19-244,2006,4,1,108,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9885310e
681,Jonathan Sirois,ca CAN,GK,FC Dallas,25-052,2001,5,4,432,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5dc34eaa
682,Pablo Sisniega,mx MEX,GK,San Diego FC,31-042,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,550557e1
683,Jack Skahan,us USA,MFFW,SJ Earthquakes,28-192,1998,17,7,627,7.0,2,2,4,2,0,0,1,0,0.29,0.29,0.57,0.29,0.57,Matches,9c07bdc7
684,Tyger Smalls,,FW,Charlotte,23-334,2002,9,0,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1e78e7c5
685,Ian Smith,us USA,DF,Portland Timbers,24-033,2002,13,1,325,3.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,80a9110c
686,Kyle Smith,us USA,DFMF,FC Cincinnati,34-221,1992,15,8,793,8.8,1,0,1,1,0,0,2,1,0.11,0.00,0.11,0.11,0.11,Matches,9e6b2ec3
687,Artem Smoliakov,ua UKR,MFDF,LAFC,23-081,2003,5,2,175,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a7590f18
688,Mohammed Sofo,gh GHA,MFFW,RB New York,21-261,2004,12,2,354,3.9,1,0,1,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches,09390bae
689,Sergi Solans,es ESP,FW,Real Salt Lake,23-173,2003,18,14,1197,13.3,8,3,11,8,0,0,1,0,0.60,0.23,0.83,0.60,0.83,Matches,a5c74923
690,Pedro Soma,us USA,MF,San Diego FC,20-049,2006,9,4,400,4.4,1,2,3,1,0,0,2,0,0.23,0.45,0.68,0.23,0.68,Matches,c29783af
691,Tyrese Spicer,tt TRI,MFFW,Orlando City,25-257,2000,15,5,636,7.1,5,1,6,5,0,0,1,0,0.71,0.14,0.85,0.71,0.85,Matches,685576cf
692,Stijn Spierings,nl NED,MF,Real Salt Lake,30-159,1996,15,12,1041,11.6,1,1,2,1,0,0,2,0,0.09,0.09,0.17,0.09,0.17,Matches,a08985b8
693,Dayne St. Clair,ca CAN,GK,Inter Miami,29-101,1997,14,14,1260,14.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,3f41d25f
694,Lazar Stefanovic,ca CAN,DF,Toronto FC,20-008,2006,6,1,198,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,681fad6a
695,Zack Steffen,us USA,GK,Colorado Rapids,31-138,1995,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,42130443
696,Kimani Stewart-Baynes,ca CAN,FW,Colorado Rapids,21-213,2005,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7b84fa86
697,Noah Streit,ch SUI,FW,CF Montréal,20-311,2005,15,7,700,7.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,70ece0eb
698,Jared Stroud,us USA,MF,D.C. United,30-039,1996,13,4,427,4.7,1,0,1,1,0,0,3,0,0.21,0.00,0.21,0.21,0.21,Matches,5d018899
699,Peter Stroud,us USA,MF,Minnesota Utd,24-117,2002,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,16000870
700,Brad Stuver,us USA,GK,Austin FC,35-124,1991,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6a1940d5
701,Ignacio Suarez,us USA,MF,Atlanta Utd,17-137,2009,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1462b9f0
702,Luis Suárez,uy URU,FW,Inter Miami,39-206,1987,15,11,974,10.8,10,2,12,8,2,2,1,0,0.92,0.18,1.11,0.74,0.92,Matches,a6154613
703,Magomed-Shapi Suleymanov,ru RUS,MFFW,Sporting KC,26-245,1999,16,10,821,9.1,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches,d94653be
704,Cavan Sullivan,us USA,MF,Philadelphia,16-324,2009,17,10,891,9.9,1,3,4,1,0,0,1,0,0.10,0.30,0.40,0.10,0.40,Matches,0ddabe9e
705,Quinn Sullivan,us USA,FWMF,Philadelphia,22-144,2004,4,0,100,1.1,0,1,1,0,0,0,0,0,0.00,0.90,0.90,0.00,0.90,Matches,92f62cfe
706,Finn Sundstrom,us USA,DF,Philadelphia,19-272,2006,2,1,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3b9e2775
707,Finn Surman,nz NZL,DF,Portland Timbers,22-329,2003,19,19,1665,18.5,1,1,2,1,0,0,1,0,0.05,0.05,0.11,0.05,0.11,Matches,016e419b
708,Sam Surridge,eng ENG,FW,Nashville SC,28-021,1998,13,9,908,10.1,12,0,12,9,3,3,2,0,1.19,0.00,1.19,0.89,0.89,Matches,b017b770
709,Oleksandr Svatok,ua UKR,DF,Austin FC,31-325,1994,17,17,1487,16.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b70be510
710,Erik Sviatchenko,dk DEN,DF,Houston,34-318,1991,10,7,619,6.9,1,0,1,1,0,0,4,1,0.15,0.00,0.15,0.15,0.15,Matches,9614b550
711,Caleb Swann,us USA,MF,FC Dallas,19-195,2007,2,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bd37a379
712,Hennadii Synchuk,ua UKR,FWMF,CF Montréal,20-039,2006,13,9,806,9.0,1,0,1,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches,8220e6eb
713,Osvald Søe,dk DEN,DF,San Diego FC,20-286,2005,6,5,417,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,715a11e7
714,Nkosi Tafari,us USA,DF,LAFC,29-148,1997,17,15,1403,15.6,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,4a07ae31
715,Zakaria Taifi,us USA,DFMF,Orlando City,20-321,2005,12,3,364,4.0,0,2,2,0,0,0,0,0,0.00,0.49,0.49,0.00,0.49,Matches,0896e23e
716,Yohei Takaoka,jp JPN,GK,Vancouver,30-155,1996,17,17,1503,16.7,0,1,1,0,0,0,0,1,0.00,0.06,0.06,0.00,0.06,Matches,52be0b7d
717,Strahinja Tanasijević,rs SRB,DF,NYCFC,29-067,1997,3,1,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,618ab91f
718,D.J. Taylor,us USA,DF,Minnesota Utd,28-357,1997,4,1,116,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ed4dc7f4
719,Robert Taylor,fi FIN,FWMF,Austin FC,31-301,1994,2,0,55,0.6,0,1,1,0,0,0,0,0,0.00,1.64,1.64,0.00,1.64,Matches,1fc0973f
720,Robert Taylor,fi FIN,MFFW,LA Galaxy,31-301,1994,5,3,247,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1fc0973f
721,Jude Terry,us USA,MF,LAFC,17-314,2008,8,2,212,2.4,1,0,1,1,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matches,058203db
722,Cedric Teuchert,de GER,FWMF,St. Louis City,29-216,1997,10,4,300,3.3,0,1,1,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,Matches,f956479d
723,Jamal Thiaré,sn SEN,FW,Columbus Crew,33-140,1993,12,3,378,4.2,1,0,1,1,0,0,2,0,0.24,0.00,0.24,0.24,0.24,Matches,ecca2f67
724,Andrew Thomas,ru RUS,GK,Seattle Sounders,27-351,1998,18,18,1620,18.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1425ee30
725,Erik Thommy,de GER,MFFW,LA Galaxy,31-363,1994,10,6,446,5.0,1,0,1,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches,df8e7b62
726,Kosi Thompson,ca CAN,DF,Toronto FC,23-203,2003,2,2,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,517bef8b
727,Kosi Thompson,ca CAN,DFMF,Colorado Rapids,23-203,2003,10,8,691,7.7,2,0,2,2,0,0,3,0,0.26,0.00,0.26,0.26,0.26,Matches,517bef8b
728,Tiago,br BRA,MFFW,Orlando City,21-132,2005,16,11,739,8.2,1,1,2,1,0,0,4,0,0.12,0.12,0.24,0.12,0.24,Matches,77ee5b27
729,Cheikh Tidiane Sabaly,sn SEN,MF,Vancouver,27-167,1999,14,9,634,7.0,2,1,3,2,0,0,1,0,0.28,0.14,0.43,0.28,0.43,Matches,9ddf7fae
730,Sékou Tidiany Bangoura,gn GUI,MF,Columbus Crew,24-135,2002,16,6,607,6.7,1,0,1,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches,62045652
731,Timothy Tillman,us USA,MF,LAFC,27-226,1999,17,13,1099,12.2,1,2,3,1,0,0,3,0,0.08,0.16,0.25,0.08,0.25,Matches,a5bea1fb
732,Harry Toffolo,eng ENG,DF,Charlotte,30-364,1995,13,13,1013,11.3,0,2,2,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,Matches,a105d46a
733,Cayman Togashi,jp JPN,FW,Atlanta Utd,33-008,1993,7,1,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,81273f6d
734,Nouhou Tolo,cm CMR,DF,Seattle Sounders,29-056,1997,18,18,1591,17.7,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,0796512f
735,Ervin Torres,us USA,FW,Austin FC,18-277,2007,6,1,171,1.9,1,2,3,1,0,0,1,0,0.53,1.05,1.58,0.53,1.58,Matches,a6e64806
736,Facundo Torres,uy URU,MFFW,Austin FC,26-127,2000,19,18,1515,16.8,1,5,6,1,0,0,3,0,0.06,0.30,0.36,0.06,0.36,Matches,4de3b2c0
737,Tomas Totland,no NOR,MF,St. Louis City,26-324,1999,15,10,963,10.7,1,3,4,1,0,0,2,0,0.09,0.28,0.37,0.09,0.37,Matches,8bb174fc
738,Bénie Traoré,ci CIV,FW,NYCFC,23-261,2002,4,3,200,2.2,1,0,1,0,1,1,0,0,0.45,0.00,0.45,0.00,0.00,Matches,77816c91
739,Wil Trapp,us USA,MF,Minnesota Utd,33-215,1993,18,12,1135,12.6,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,9bf9391c
740,Jackson Travis,us USA,DF,Colorado Rapids,22-176,2004,13,11,799,8.9,0,1,1,0,0,0,2,1,0.00,0.11,0.11,0.00,0.11,Matches,08b318c0
741,Kai Trewin,au AUS,MFDF,NYCFC,25-092,2001,15,14,1254,13.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1ab3d134
742,Nectarios Triantis,gr GRE,MF,Minnesota Utd,23-099,2003,15,14,1159,12.9,1,1,2,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,Matches,73d58203
743,Niko Tsakiris,us USA,MF,SJ Earthquakes,21-060,2005,12,11,952,10.6,2,4,6,1,1,1,2,0,0.19,0.38,0.57,0.09,0.47,Matches,cb501677
744,Cielo Tschantret,us USA,MF,Sporting KC,20-177,2006,1,1,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,21a9a2b5
745,Yutaro Tsukada,jp JPN,FW,Orlando City,25-021,2001,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,56d6715c
746,Dor Turgeman,il ISR,FW,NE Revolution,22-298,2003,19,19,1544,17.2,4,4,8,4,0,0,1,0,0.23,0.23,0.47,0.23,0.47,Matches,d9d3eb6c
747,Gavin Turner,us USA,MF,D.C. United,19-225,2007,3,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d86edf5a
748,Matt Turner,us USA,GK,NE Revolution,32-055,1994,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4a51ba65
